country_id$country_name
1$Albania
2$Algeria
3$Angola
4$Argentina
5$Armenia
6$Australia
7$Austria
8$Bangladesh
9$Belarus
10$Belgium
11$Bolivia
12$Bosnia and Herzegovina
13$Brazil
14$Bulgaria
15$Burkina Faso
16$Cabo Verde
17$Cambodia
18$Cameroon
19$Canada
20$Chile
21$China
22$Colombia
23$Congo
24$Costa Rica
25$Croatia
26$Cuba
27$Cyprus
28$Czechia
29$Denmark
30$Dominican Republic
31$Ecuador
32$Egypt
33$El Salvador
34$Equatorial Guinea
35$Estonia
36$Finland
37$France
38$Georgia
39$Germany
40$Ghana
41$Greece
42$Guinea-Bissau
43$Hungary
44$Iceland
45$India
46$Indonesia
47$Iran
48$Iraq
49$Israel
50$Italy
51$Jamaica
52$Japan
53$Korea
54$Kosovo
55$Luxembourg
56$Madagascar
57$Maldives
58$Mali
59$Malta
60$Mexico
61$Moldova
62$Mongolia
63$Montenegro
64$Morocco
65$Mozambique
66$Nepal
67$Netherlands
68$New Zealand
69$Nigeria
70$North Macedonia
71$Norway
72$Pakistan
73$Panama
74$Paraguay
75$Peru
76$Philippines
77$Poland
78$Portugal
79$Qatar
80$Romania
81$Russia
82$Saudi Arabia
83$Senegal
84$Serbia
85$Slovakia
86$Slovenia
87$Somalia
88$South Africa
89$South Sudan
90$Spain
91$Sweden
92$Switzerland
93$Syria
94$Thailand
95$Trinidad and Tobago
96$Tunisia
97$Turkey
98$Ukraine
99$United Kingdom
100$United States
101$Uruguay
102$Venezuela
103$Vietnam
